;CO_POSICAO;SG_AREA;CO_ITEM;TX_GABARITO;CO_HABILIDADE;IN_ITEM_ABAN;TX_MOTIVO_ABAN;NU_PARAM_A;NU_PARAM_B;NU_PARAM_C;TX_COR;CO_PROVA;TP_LINGUA;IN_ITEM_ADAPTADO
560;46;CH;118022;E;26;0;;3.17381;0.77149;0.09188;Rosa;510;;0
478;39;LC;89550;C;1;0;;3.10874;0.76811;0.16616;Rosa;513;;0
420;34;LC;81992;D;12;0;;3.58061;0.76482;0.09494;Rosa;513;;0
202;14;LC;96525;A;28;0;;3.89027;0.76252;0.11963;Rosa;513;;0
175;11;LC;118276;C;16;0;;2.59876;0.75076;0.13733;Rosa;513;;0
158;10;LC;77356;B;13;0;;3.62272;0.75063;0.23761;Rosa;513;;0
1201;106;CN;88853;C;11;0;;2.39212;0.70901;0.16500;Rosa;506;;0
930;80;CH;111877;C;10;0;;2.54319;0.68737;0.16087;Rosa;510;;0
10;1;LC;48558;D;6;0;;2.74411;0.68157;0.13769;Rosa;513;1.00000;0
116;6;LC;118118;A;9;0;;3.00154;0.66248;0.15753;Rosa;513;;0
776;66;CH;118033;C;6;0;;3.33353;0.65950;0.32563;Rosa;510;;0
34;2;LC;54110;D;7;0;;2.82077;0.63692;0.16707;Rosa;513;0.00000;0
530;44;LC;59976;C;30;0;;3.49523;0.62543;0.17905;Rosa;513;;0
1075;94;CN;7529;D;29;0;;2.26543;0.62256;0.16620;Rosa;506;;0
615;51;CH;118125;E;21;0;;1.14176;0.61713;0.00161;Rosa;510;;0
81;4;LC;55166;B;7;0;;2.66039;0.61130;0.19627;Rosa;513;0.00000;0
628;53;CH;85139;B;24;0;;2.89534;0.60872;0.22906;Rosa;510;;0
1125;99;CN;29776;E;30;0;;2.80865;0.58402;0.21207;Rosa;506;;0
1398;126;CN;85548;D;24;0;;2.96175;0.58267;0.11175;Rosa;506;;0
658;55;CH;96447;D;20;0;;3.56414;0.51626;0.13663;Rosa;510;;0
109;5;LC;118180;E;5;0;;5.61439;0.49582;0.14570;Rosa;513;0.00000;0
87;4;LC;118222;B;5;0;;4.32465;0.49170;0.25230;Rosa;513;1.00000;0
1046;91;CN;31718;D;28;0;;1.90483;0.48421;0.21286;Rosa;506;;0
641;54;CH;84811;A;2;0;;2.78428;0.48121;0.18255;Rosa;510;;0
61;3;LC;118167;A;8;0;;2.46330;0.48099;0.09893;Rosa;513;1.00000;0
301;23;LC;86932;A;14;0;;0.66090;0.48081;0.02482;Rosa;513;;0
1701;156;MT;30436;C;12;0;;1.64692;0.47926;0.18811;Rosa;517;;0
394;31;LC;118165;C;4;0;;2.57957;0.47485;0.17883;Rosa;513;;0
1033;89;CH;118158;C;6;0;;2.22546;0.46653;0.15939;Rosa;510;;0
540;45;LC;23833;C;20;0;;3.34117;0.44968;0.20117;Rosa;513;;0
912;78;CH;118108;C;22;0;;2.80224;0.44492;0.21353;Rosa;510;;0
883;76;CH;66498;C;30;0;;1.31749;0.44063;0.18259;Rosa;510;;0
1617;148;MT;63187;D;1;0;;1.86876;0.42930;0.12552;Rosa;517;;0
504;41;LC;118170;D;23;0;;1.60663;0.41552;0.00227;Rosa;513;;0
1454;131;CN;117999;C;3;0;;3.76618;0.41535;0.10709;Rosa;506;;0
3;1;LC;23564;A;6;0;;4.08473;0.41261;0.20536;Rosa;513;0.00000;0
1663;152;MT;86432;A;1;0;;1.12267;0.37213;0.26876;Rosa;517;;0
47;3;LC;31954;B;8;0;;2.02433;0.34872;0.20967;Rosa;513;0.00000;0
758;64;CH;112135;A;27;0;;2.05925;0.34452;0.21848;Rosa;510;;0
804;69;CH;84147;A;25;0;;2.06700;0.32546;0.20034;Rosa;510;;0
1312;117;CN;89298;A;26;0;;1.02022;0.29761;0.01670;Rosa;506;;0
1057;92;CN;89150;E;22;0;;3.48200;0.29664;0.15617;Rosa;506;;0
1470;133;CN;86521;C;4;0;;1.71979;0.25498;0.14498;Rosa;506;;0
667;56;CH;96302;B;7;0;;1.13705;0.24894;0.00655;Rosa;510;;0
621;52;CH;87057;D;20;0;;1.22262;0.24530;0.17471;Rosa;510;;0
429;35;LC;32261;E;24;0;;4.49928;0.23211;0.20659;Rosa;513;;0
375;30;LC;76167;D;1;0;;1.82086;0.22830;0.00715;Rosa;513;;0
569;47;CH;111844;E;11;0;;2.33881;0.22143;0.04965;Rosa;510;;0
229;16;LC;86496;C;30;0;;2.30147;0.21937;0.08452;Rosa;513;;0
472;38;LC;118264;E;21;0;;1.88081;0.20842;0.03365;Rosa;513;;0
697;59;CH;83820;B;12;0;;2.24266;0.19945;0.14787;Rosa;510;;0
326;25;LC;118117;C;10;0;;2.52418;0.19306;0.22915;Rosa;513;;0
1438;130;CN;60311;E;10;0;;2.79351;0.15609;0.14102;Rosa;506;;0
153;9;LC;118161;C;24;0;;1.77698;0.04697;0.05812;Rosa;513;;0
1353;121;CN;111624;D;12;0;;1.03081;-0.00312;0.01163;Rosa;506;;0
1227;109;CN;19223;B;14;0;;2.06769;-0.11974;0.19742;Rosa;506;;0
242;18;LC;24785;D;28;0;;4.08970;-0.15593;0.18836;Rosa;513;;0
707;60;CH;77940;A;16;0;;1.69265;-0.16281;0.19993;Rosa;510;;0
289;22;LC;89874;A;10;0;;2.50294;-0.16837;0.05346;Rosa;513;;0
130;7;LC;118147;B;23;0;;1.41373;-0.17071;0.01187;Rosa;513;;0
217;15;LC;89317;E;28;0;;3.23142;-0.18840;0.16189;Rosa;513;;0
192;13;LC;68624;A;30;0;;1.75160;-0.24965;0.17322;Rosa;513;;0
586;49;CH;78903;C;11;0;;1.56820;-0.25115;0.00814;Rosa;510;;0
450;36;LC;118260;E;15;1;Não permitiu a convergência do algoritmo de estimação da TRI;;;;Rosa;513;;0
841;72;CH;76955;B;27;1;Não permitiu a convergência do algoritmo de estimação da TRI;;;;Rosa;510;;0
879;75;CH;118067;C;29;1;Não permitiu a convergência do algoritmo de estimação da TRI;;;;Rosa;510;;0
1430;129;CN;83609;E;18;1;Não permitiu a convergência do algoritmo de estimação da TRI;;;;Rosa;506;;0
1668;153;MT;23065;C;14;1;Não permitiu a convergência do algoritmo de estimação da TRI;;;;Rosa;517;;0
