;CO_POSICAO;SG_AREA;CO_ITEM;TX_GABARITO;CO_HABILIDADE;IN_ITEM_ABAN;TX_MOTIVO_ABAN;NU_PARAM_A;NU_PARAM_B;NU_PARAM_C;TX_COR;CO_PROVA;TP_LINGUA;IN_ITEM_ADAPTADO
1185;105;CN;7529;D;29;0;;2.26543;0.62256;0.16620;Amarela;504;;0
778;66;CH;118125;E;21;0;;1.14176;0.61713;0.00161;Amarela;508;;0
35;2;LC;55166;B;7;0;;2.66039;0.61130;0.19627;Amarela;512;0.00000;0
795;68;CH;85139;B;24;0;;2.89534;0.60872;0.22906;Amarela;508;;0
1099;96;CN;29776;E;30;0;;2.80865;0.58402;0.21207;Amarela;504;;0
1448;131;CN;85548;D;24;0;;2.96175;0.58267;0.11175;Amarela;504;;0
611;51;CH;96447;D;20;0;;3.56414;0.51626;0.13663;Amarela;508;;0
62;3;LC;118180;E;5;0;;5.61439;0.49582;0.14570;Amarela;512;0.00000;0
19;1;LC;118222;B;5;0;;4.32465;0.49170;0.25230;Amarela;512;1.00000;0
1157;102;CN;31718;D;28;0;;1.90483;0.48421;0.21286;Amarela;504;;0
596;50;CH;84811;A;2;0;;2.78428;0.48121;0.18255;Amarela;508;;0
104;5;LC;118167;A;8;0;;2.46330;0.48099;0.09893;Amarela;512;1.00000;0
403;32;LC;86932;A;14;0;;0.66090;0.48081;0.02482;Amarela;512;;0
1659;152;MT;30436;C;12;0;;1.64692;0.47926;0.18811;Amarela;516;;0
261;19;LC;118165;C;4;0;;2.57957;0.47485;0.17883;Amarela;512;;0
745;63;CH;118158;C;6;0;;2.22546;0.46653;0.15939;Amarela;508;;0
220;16;LC;23833;C;20;0;;3.34117;0.44968;0.20117;Amarela;512;;0
1020;88;CH;118108;C;22;0;;2.80224;0.44492;0.21353;Amarela;508;;0
948;82;CH;66498;C;30;0;;1.31749;0.44063;0.18259;Amarela;508;;0
1582;144;MT;63187;D;1;0;;1.86876;0.42930;0.12552;Amarela;516;;0
292;22;LC;118170;D;23;0;;1.60663;0.41552;0.00227;Amarela;512;;0
1384;124;CN;117999;C;3;0;;3.76618;0.41535;0.10709;Amarela;504;;0
91;5;LC;23564;A;6;0;;4.08473;0.41261;0.20536;Amarela;512;0.00000;0
1620;148;MT;86432;A;1;0;;1.12267;0.37213;0.26876;Amarela;516;;0
5;1;LC;31954;B;8;0;;2.02433;0.34872;0.20967;Amarela;512;0.00000;0
987;85;CH;112135;A;27;0;;2.05925;0.34452;0.21848;Amarela;508;;0
872;75;CH;84147;A;25;0;;2.06700;0.32546;0.20034;Amarela;508;;0
1253;111;CN;89298;A;26;0;;1.02022;0.29761;0.01670;Amarela;504;;0
1169;103;CN;89150;E;22;0;;3.48200;0.29664;0.15617;Amarela;504;;0
1399;126;CN;86521;C;4;0;;1.71979;0.25498;0.14498;Amarela;504;;0
622;52;CH;96302;B;7;0;;1.13705;0.24894;0.00655;Amarela;508;;0
784;67;CH;87057;D;20;0;;1.22262;0.24530;0.17471;Amarela;508;;0
352;28;LC;32261;E;24;0;;4.49928;0.23211;0.20659;Amarela;512;;0
542;45;LC;76167;D;1;0;;1.82086;0.22830;0.00715;Amarela;512;;0
677;57;CH;111844;E;11;0;;2.33881;0.22143;0.04965;Amarela;508;;0
455;37;LC;86496;C;30;0;;2.30147;0.21937;0.08452;Amarela;512;;0
172;11;LC;118264;E;21;0;;1.88081;0.20842;0.03365;Amarela;512;;0
562;47;CH;83820;B;12;0;;2.24266;0.19945;0.14787;Amarela;508;;0
492;40;LC;118117;C;10;0;;2.52418;0.19306;0.22915;Amarela;512;;0
1128;99;CN;60311;E;10;0;;2.79351;0.15609;0.14102;Amarela;504;;0
118;6;LC;118161;C;24;0;;1.77698;0.04697;0.05812;Amarela;512;;0
1294;115;CN;111624;D;12;0;;1.03081;-0.00312;0.01163;Amarela;504;;0
1315;118;CN;19223;B;14;0;;2.06769;-0.11974;0.19742;Amarela;504;;0
407;33;LC;24785;D;28;0;;4.08970;-0.15593;0.18836;Amarela;512;;0
574;48;CH;77940;A;16;0;;1.69265;-0.16281;0.19993;Amarela;508;;0
388;31;LC;89874;A;10;0;;2.50294;-0.16837;0.05346;Amarela;512;;0
150;9;LC;118147;B;23;0;;1.41373;-0.17071;0.01187;Amarela;512;;0
443;36;LC;89317;E;28;0;;3.23142;-0.18840;0.16189;Amarela;512;;0
498;41;LC;68624;A;30;0;;1.75160;-0.24965;0.17322;Amarela;512;;0
694;59;CH;78903;C;11;0;;1.56820;-0.25115;0.00814;Amarela;508;;0
371;29;LC;118260;E;15;1;Não permitiu a convergência do algoritmo de estimação da TRI;;;;Amarela;512;;0
903;78;CH;76955;B;27;1;Não permitiu a convergência do algoritmo de estimação da TRI;;;;Amarela;508;;0
943;81;CH;118067;C;29;1;Não permitiu a convergência do algoritmo de estimação da TRI;;;;Amarela;508;;0
1121;98;CN;83609;E;18;1;Não permitiu a convergência do algoritmo de estimação da TRI;;;;Amarela;504;;0
1627;149;MT;23065;C;14;1;Não permitiu a convergência do algoritmo de estimação da TRI;;;;Amarela;516;;0
